Posting Date;Parts Revenue
2007-12-31 00:00:00.000;0.000000000000000000
2008-09-15 00:00:00.000;0.000000000000000000
2008-09-25 00:00:00.000;0.000000000000000000
2008-10-01 00:00:00.000;0.000000000000000000
2008-10-02 00:00:00.000;13244.040000000000000000
2008-10-03 00:00:00.000;14089.580000000000000000
2008-10-06 00:00:00.000;16178.090000000000000000
2008-10-07 00:00:00.000;9943.550000000000000000
2008-10-08 00:00:00.000;15278.270000000000000000
2008-10-09 00:00:00.000;12191.040000000000000000
2008-10-10 00:00:00.000;13201.030000000000000000
2008-10-13 00:00:00.000;9826.890000000000000000
2008-10-14 00:00:00.000;12230.380000000000000000
2008-10-15 00:00:00.000;9515.370000000000000000
2008-10-16 00:00:00.000;13598.640000000000000000
2008-10-17 00:00:00.000;8144.620000000000000000
2008-10-20 00:00:00.000;8054.020000000000000000
2008-10-21 00:00:00.000;10126.120000000000000000
2008-10-22 00:00:00.000;7330.400000000000000000
2008-10-23 00:00:00.000;12166.550000000000000000
2008-10-24 00:00:00.000;8113.260000000000000000
2008-10-27 00:00:00.000;4252.600000000000000000
2008-10-29 00:00:00.000;13665.310000000000000000
2008-10-30 00:00:00.000;7247.330000000000000000
2008-10-31 00:00:00.000;21556.160000000000000000
2008-11-03 00:00:00.000;13133.460000000000000000
2008-11-04 00:00:00.000;9076.670000000000000000
2008-11-05 00:00:00.000;17013.080000000000000000
2008-11-06 00:00:00.000;7104.740000000000000000
2008-11-07 00:00:00.000;10650.130000000000000000
2008-11-08 00:00:00.000;0.000000000000000000
2008-11-10 00:00:00.000;5209.480000000000000000
2008-11-11 00:00:00.000;14717.420000000000000000
2008-11-12 00:00:00.000;8282.160000000000000000
2008-11-13 00:00:00.000;11560.530000000000000000
2008-11-14 00:00:00.000;10946.000000000000000000
2008-11-15 00:00:00.000;29.460000000000000000
2008-11-17 00:00:00.000;9526.830000000000000000
2008-11-18 00:00:00.000;11716.850000000000000000
2008-11-19 00:00:00.000;9084.530000000000000000
2008-11-20 00:00:00.000;11692.680000000000000000
2008-11-21 00:00:00.000;6041.480000000000000000
2008-11-24 00:00:00.000;10604.560000000000000000
2008-11-25 00:00:00.000;11747.820000000000000000
2008-11-26 00:00:00.000;10847.600000000000000000
2008-11-27 00:00:00.000;9549.690000000000000000
