A1,B1,C1
23.638888002390452,18.23774796021003,11.482364514082109
23.127139565280554,16.0984861119274,11.681703466809044
24.30257290593326,14.8986186696077,11.119362665940763
22.637462827847777,17.35450543073166,11.494997395635396
24.08723759468628,17.42045643758863,12.813163998651111
23.51677551104831,16.21507019699629,10.591322895167385
22.725277423899605,16.61033547613438,11.157987170607122
23.403689326920897,17.2263446349901,11.960527817677095
23.030408424417598,16.90419849767341,11.836295954090192
24.956648529532004,14.858918666160083,11.051433029227947
